"Polda","Polres","Sudah Diupload","Sudah Diverifikasi","Belum Diverifikasi","Ditolak","Ditolak (Akumulasi)","Persentase"
"Aceh","Aceh Timur","11","11","0","0","0","26.19"
"Aceh","Kota Sabang","11","11","0","0","3","26.19"
"Aceh","Aceh Barat","11","11","0","0","0","26.19"
"Aceh","Aceh Besar","11","11","0","0","0","26.19"
"Aceh","Aceh Tamiang","11","11","0","0","0","26.19"
"Aceh","Kota Subulussalam","11","11","0","0","0","26.19"
"Aceh","Aceh Utara","11","11","0","0","0","26.19"
"Aceh","Pidie","11","11","0","0","0","26.19"
"Aceh","Kota Lhokseumawe","11","11","0","0","0","26.19"
"Aceh","Gayo Lues","11","11","0","0","1","26.19"
"Aceh","Kota Banda Aceh","11","11","0","0","0","26.19"
"Aceh","Aceh Jaya","11","11","0","0","1","26.19"
"Aceh","Aceh Tengah","11","11","0","0","0","26.19"
"Aceh","Aceh Barat Daya","11","11","0","0","0","26.19"
"Aceh","Aceh Tenggara","11","11","0","0","1","26.19"
"Aceh","Kota Langsa","11","11","0","0","0","26.19"
"Aceh","Bener Meriah","11","11","0","0","0","26.19"
"Aceh","Bireuen","11","11","0","0","0","26.19"
"Aceh","Simeulue","10","10","0","0","0","23.81"
"Aceh","Nagan Raya","9","9","0","0","0","21.43"
"Aceh","Aceh Selatan","9","9","0","0","0","21.43"
"Aceh","Pidie Jaya","9","8","1","0","0","19.05"
"Aceh","Aceh Singkil","0","0","0","0","0","0"
