Polda,Polres,Sudah Diupload,Sudah Diverifikasi,Belum Diverifikasi,Ditolak,Ditolak (Akumulasi),Persentase
Aceh,Aceh Timur,5,2,0,0,0,27.78
Aceh,Pidie,5,3,0,0,0,27.78
Aceh,Simeulue,5,4,0,0,0,27.78
Aceh,Aceh Selatan,5,5,0,0,0,27.78
Aceh,Aceh Barat,5,5,0,0,0,27.78
Aceh,Aceh Besar,5,3,0,0,0,27.78
Aceh,Aceh Tamiang,5,3,0,0,0,27.78
Aceh,Kota Subulussalam,5,3,0,0,0,27.78
Aceh,Nagan Raya,5,3,0,0,0,27.78
Aceh,Aceh Utara,5,3,0,0,0,27.78
Aceh,Gayo Lues,5,3,0,0,0,27.78
Aceh,Bireuen,5,3,0,0,0,27.78
Aceh,Kota Sabang,5,3,0,0,0,27.78
Aceh,Kota Banda Aceh,5,3,0,0,0,27.78
Aceh,Aceh Jaya,5,3,0,0,0,27.78
Aceh,Aceh Tengah,5,3,0,0,0,27.78
Aceh,Aceh Barat Daya,5,3,0,0,0,27.78
Aceh,Aceh Tenggara,5,3,0,0,0,27.78
Aceh,Kota Lhokseumawe,5,3,0,0,0,27.78
Aceh,Kota Langsa,5,3,0,0,0,27.78
Aceh,Bener Meriah,5,3,0,0,0,27.78
Aceh,Pidie Jaya,5,3,1,0,0,22.22
Aceh,Aceh Singkil,0,0,0,0,0,0
