"Polda","Polres","Sudah Diupload","Sudah Diverifikasi","Belum Diverifikasi","Ditolak","Ditolak (Akumulasi)","Persentase"
"Aceh","Aceh Timur","12","9","3","0","0","25"
"Aceh","Kota Subulussalam","11","9","2","0","0","25"
"Aceh","Aceh Besar","12","9","3","0","0","25"
"Aceh","Pidie","12","9","3","0","0","25"
"Aceh","Kota Sabang","11","9","2","0","0","25"
"Aceh","Aceh Barat Daya","12","9","3","0","0","25"
"Aceh","Pidie Jaya","9","9","0","0","0","25"
"Aceh","Aceh Jaya","11","9","2","0","0","25"
"Aceh","Aceh Tamiang","12","9","3","0","0","25"
"Aceh","Aceh Barat","12","9","3","0","0","25"
"Aceh","Nagan Raya","12","9","3","0","0","25"
"Aceh","Bener Meriah","12","9","3","0","0","25"
"Aceh","Gayo Lues","12","9","3","0","0","25"
"Aceh","Aceh Utara","12","9","3","0","0","25"
"Aceh","Kota Langsa","11","9","2","0","0","25"
"Aceh","Bireuen","11","9","2","0","0","25"
"Aceh","Kota Lhokseumawe","12","9","3","0","0","25"
"Aceh","Kota Banda Aceh","12","9","3","0","0","25"
"Aceh","Aceh Tengah","12","9","3","0","0","25"
"Aceh","Simeulue","11","8","3","0","0","22.22"
"Aceh","Aceh Tenggara","10","8","2","0","0","22.22"
"Aceh","Aceh Selatan","10","8","2","0","0","22.22"
"Aceh","Aceh Singkil","11","6","5","0","0","16.67"
